Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Part_Number,No_of_Reviews,Energy_Efficiency,Item_name,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
"Please be careful if you are looking for a Hitachi A/C. It is not just their service that has quality issues but their products also are not reliable. Think twice before spending on Hitachi. I bought this model a/c 4 years ago and it is having only issues. All the frills stopped working in few months like dust sensors, swing,etc. And the the cooling started detonating. It is not able to cool 100sft room.The current problem is fins freezes and forms ice as in the picture and the A/C start blowing hot air. I have raised till now three tickets and they keep closing without addressing it.Thank you. Hitachi for making my family deprive of sleep this summer!",1.5 tons,50 dB,"HITACHI's authorised installation engineers misbehaved, manhandled, and verbally abused me on asking for an identity card. And they ran away without giving me bill for the payment I made. Afterwards in the evening 21st April 2016 the same day it all happened, me and my father are getting abusive and threatening calls from the Hitachi's authorised engineer.His name is SULEMANPhone no. 90-15-266934After being physically and verbally abused the HITACHI's engineer is now threatening me on phone and the hitachi company is not Doing anything in the matter I have never ever seen such a low standard for a brand I will never in my life buy a hitachi product please guys don't buy don't get abused.","I bought it this ac abd its been delivered damaged, when I complaint about it than Hitachi dealer said that there no problem in coolling whether its damaged and they have not replaced therefore I started facing bcoz its creates lots of noise apart from that its cooling good even I set the temp 24. I logged a complaint in Hitachi service center however unprofessional technician visited my place but thay are not able to resolve the issue, I requested them to replace it but they don't even listen you and close the case. Guys this is pathetic ac and worst service provided by Hitachi, please don't buy it else you will buy headech.","1. Although the hitachi support people replaced the broken flap and re-connected the electrical part later after reporting to them repeatedly, we are yet to hear from their side on demo and resolution of the damaged fins. After few days of operation, the sound of the motor inside AC has increased which defeats the company's self proclaimed statement that it operates very SILENTLY.Request the MD,CEO,CIO,GMs, stake-holders of hitachi to take note ' and provide prompt resolution.2. The fins on the backside of ac were damaged in many places & informed to hitachi official but they ignored the complaint.","So far looking good to me. Cooling is nice, Noise level is considerably good comparing to my previous Carrier A/c. Let me check on the power consumption and update my review after few months.  Service request and follow-up were somewhat ok, but not like other market players (Samsung, LG).","Piece of junk metal. I'll never buy any Hitachi product again.I bought this product because I wanted a quiet AC and this had the lowest noise level specifications. Big mistake. It would put a cheap farm tractor to shame. I believe this is a design flaw as I saw a lot of reviews complaining about the same but the old reviews seem to have disappeared from all ecommerce sites now. It also sometimes makes a different gasping sound as if it is about to die of a sudden stroke or fall out of the window.Most important, it doesn't seem to be capable of handling Indian summers. My other airconditioners of other brands are far more efficient and are cheaper and more reliable.Hitachi service is as pathetic as the products are. The call centre is nearly impossible to contact. Either the number is busy and I once managed to reach the IVR, it did not accept any key presses. I had to finally get the number of my local service centre from someone. Another nightmare experience.It's been 12 days since my AC broke down. 3 days since it was finally picked up. It's past working hours and the service centre disconnected my call at 5:45 pm. Pathetic!!!","I am using 3 Hitachi ACs. All of them fail every summer since past five years. Frequently fan motor fails. The repair takes almost 20 to 30 days. No one bothers to answer calls. Even on Hitachi site no response is given, Think twice before buying.","HITACHI's authorised installation engineers misbehaved, manhandled, and verbally abused me on asking for an identity card. And they ran away without giving me bill for the payment I made. Afterwards in the evening 21st April 2016 the same day it all happened, me and my father are getting abusive and threatening calls from the Hitachi's authorised engineer.His name is SULEMANPhone no. 90-15-266934After being physically and verbally abused the HITACHI's engineer is now threatening me on phone and the hitachi company is not Doing anything in the matter I have never ever seen such a low standard for a brand I will never in my life buy a hitachi product please guys don't buy don't get abused.",B00LHO9UFO," 32,000.00",Hitachi,,48 reviews,5 Star Rating,"Hitachi RAV518HUD Summer QC Window AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen","37,090.00",Remote Control,RAV518HUD,#30,"#18,694",White,1530 Watts,Window,2.9 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAV518HUD-Summer-Window-Rating/dp/B00LHO9UFO/ref=sr_1_24_m/255-7373858-7952822?ie=UTF8&qid=1485032566&s=kitchen&sr=1-24
,2 tons,50 dB,,,,,,,,B00LSK06RS," 40,800.00",Voltas,,,3 Star Rating,"Voltas Classic 243 CYA Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,Classic 243 CYA,#31,"#19,523",White,1906 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-Classic-243-CYA-Rating/dp/B00LSK06RS/ref=sr_1_48/254-1675228-4228765?ie=UTF8&qid=1485032567&s=kitchen&sr=1-48
,1.5 tons,43 dB,"Had bought the AC from a different seller, but posting the review so that others could get some ideaPACKAGEPresent:- 3mts copper tube- Plastic drain pipe- AC's internal and external units- Remote & batteriesNot Present:- 15 Amp power socketSERVICEGood:- The voltas service guys came within 48 of booking the installation request via call centerBad:- The service engineers not properly trained and missed precision- Did not carry extra copper tubes\stand, so they had to go out again to get that- They took 6 hours to install the AC, which is very long timeREVIEWGood:- The cooling is really good.- Silent- Remote looks good. Has display screen which shows the AC running mode and the temperature.- Has all the basic features which are required for basic home need.Bad:- The AC design is just old styled, but is compensated looking at cost and cooling performance.CONCLUSION- Bought a 3 star AC as need it for 3-4 hours during summers. Buying a 5 star AC did not make much of a sense as the usage is not very high. It is suggested to buy 3 star if you use AC form more than 12 hours a day.- Cooling is really good, so do not get concerned in respect to cooling when you are buying this model.Please Hit the 'YES' button If you found this Review Helpful. It encourages me to inspect more and more products so that you could have only the Right Products.",Don't expect after sales service from Voltas . I have purchased new AC having too much noise from compressor. Complaint have been registered from last two month but no one from Voltas visited to resolve the complaint. I have called more than 30 times to customer care but no results . Now I am tired so I decided to write here.,"Reviewing the product after 15 days of use, I got the installation done from a local guy after reading the bad comments on various online site, so I am not commenting on the installation part.Pros:1. The cooling is amazing, it cools the bedroom within 5 minutes2. Extremely silent, you won't come to know the AC is actually, the outer unit makes some noise but that you won't notice3. Easy to operate4. Reasonably pricedCons:1. Has aluminium condenser (and not copper), but the cooling is amazing so that is sorted. Secondly voltas uses some blue technology to avoid rusting so the major two drawbacks of aluminium condenser are taken care off2. The design is basic.I would definitely recommend.","Pros-1.The very first thing is It is a very good product.2.Value for money I bought it for Rs 23,121/-3.Cooling is very fast, within 15min my 280sq ft room is chilled at 18 degrees.4. The remote has almost everything that you need in today's ac.5. The outdoor unit is silent.Cons-1.First please check the seal of the package. Package was somehow tried to open but every other things were in place.2. Installation is Rs 2250/- . 1500 for just making a hole in the wall, drilling screws and mounting the inner unit. The outdoor unit needs a stand that costs 750/-3. If there is a concrete beam for making a hole on the wall will cost you more 1000 rs4. Design of the indoor unit is very simple.5. The installation will take a whole day.6.",The Voltas service centre is the worst possible outfit. They refuse to register the product for warranty. Have tried through email with no response. The phone does not work.  No response. Why can't they have a warranty online without people interface. For a reputed Tata company this sounds fishy.  Not going to buy a Voltas product again.,,The AC was good  well performing. Leakage was detected but Voltas could not fix.Amazon accepted the return on account of defected product. Customer centric service from Amazon.,B00LWRDDNQ," 28,995.00",Voltas,,12 reviews,3 Star Rating,"Voltas 183 Cye Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen","38,490.00",Remote Control,1.5T 183 Cye,#80,"#84,720",White,1666 Watts,Split,3.3 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-183-Cye-Rating-Aluminium/dp/B00LWRDDNQ/ref=sr_1_72/253-2427707-6914341?ie=UTF8&qid=1485032569&s=kitchen&sr=1-72
,1.5 tons,,"In Hyderabad installation will be delayed.Be prepare for 15days wait for installation.After a lot of pressure finally they installed my AC after 10days.The main issue with the unit when you switch off your AC with remote and forget to off the power switch ,If power off and on ,the moment power came back the AC unit will start on its own will make a huge Power bill in your pocket.I made a complaint on 09-05-2016 and till today 13-05-2016 no one attended the fault.When I contacted cutmercare ...the common answers ate im sorry ...will be attended...etc.Very very bad after sale service in Hyderabad.After a 3 months of usage it's still worst.The AC will switch on its own ....","AC cooling is not proper, white blinks 4 times and as per manual it says problem with outdoor unit. Already registered a complain with HITACHI and no one has attended even after 48 hours","AC cooling is not appropriate as per 1.5 ton AC. I have to use this AC on 18-degree celsius. Looks like it only increasing the bill, not Colling.. I will not recommend this product at least from Amazon.",,,,,B01BSNSDIS," 38,700.00",Hitachi,,6 reviews,3 Star Rating,"Hitachi RAU318IWD Zunoh Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen","44,390.00",Remote Control,RAU318IWD,#33,"#20,276",White,,Split,3.0 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU318IWD-Zunoh-Rating-Copper/dp/B01BSNSDIS/ref=sr_1_96/253-8625789-6591253?ie=UTF8&qid=1485032571&s=kitchen&sr=1-96
,1.5 tons,,"HITACHI's authorised installation engineers misbehaved, manhandled, and verbally abused me on asking for an identity card. And they ran away without giving me bill for the payment I made. Afterwards in the evening 21st April 2016 the same day it all happened, me and my father are getting abusive and threatening calls from the Hitachi's authorised engineer.His name is SULEMANPhone no. 90-15-266934After being physically and verbally abused the HITACHI's engineer is now threatening me on phone and the hitachi company is not Doing anything in the matter I have never ever seen such a low standard for a brand I will never in my life buy a hitachi product please guys don't buy don't get abused.",,,,,,,B00LHOAGUW," 37,000.00",Hitachi,,11 reviews,3 Star Rating,"Hitachi RAU318HUDD Kampa Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen","38,390.00",Remote Control,RAU318HUDD,#123,"#1,34,058",White,1625 Watts,Split,2.4 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU318HUDD-Kampa-Rating-Copper/dp/B00LHOAGUW/ref=sr_1_120/253-6032559-4248023?ie=UTF8&qid=1485032573&s=kitchen&sr=1-120
,1.5 tons,,"Bought it for INR 27891 under lightning deal! Was installed in 24 hrs. One noticeable thing is that noise levels are extremely low ( compared to my other hitachi unit ). Cooling is good( here am talking of Delhi heat !!). Got it installed in my living room size ~ 200 sft. Being 5 star rated energy consumption should be low. Price was very attractive and the fact that I noticed this brand during my recent hotel stay at Shanghai made me go for it. Frankly it's superior than others in this price range like lg,Samsung,voltas etc in build quality,fit & finish.",Awesome cooling BEAST !!!!,I bought this product last week.. I bought it for Rs 27891 and i feel it is a amazing product in its category. Fully copper AC and amazing cooling,,Using This AC from last three months .... amazing cooling and 30 % less electricity consumption from my old ac. Great Product Fully satisfied.,,,B01CHIC0WS," 36,000.00",Midea,,7 reviews,5 Star Rating,"Midea Flair-X Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen","43,100.00",Remote Control,Flair-X,#150,"#1,62,016",White,,Split,4.9 out of 5 stars,230 Volts,http://www.amazon.in/Midea-Flair-X-Split-Rating-Copper/dp/B01CHIC0WS/ref=sr_1_144/254-2180252-1503036?ie=UTF8&qid=1485032574&s=kitchen&sr=1-144
,1 tons,22 dB,The best Aircon in the market. the machine stands for its international brand value. This inverter aircons power consumption is so less that i pay EB bill of Rs.1000/- per month in chennai. I run aircon from 8pm to 6am at 23degrees on economy mode. Best value for money. Fourth class beggars are running the service for this company OGeneral. Fifth rated service. is provided by the company called ETA in India. It is high time OGeneral should change oe or kick on the butt of ETA beggars. Otherwise OGeneral shall stand to loose their reputation and share in the market. Thick skinned buffallos are working in ETA service centre,"Worst service, got repair after a year... too expensive for component. Got repair after a year.. Replacement of parts takes a month.. In general please don't go for this AC","AC looks very 1990's. But people using General AC for years say its low maintenance. I hope it is. Not much of sound. Installation service was very bad. Very rude and unprofessional person came to install. Rates he quoted and from company differed. I think it was arranged by Amazon through distributor. They charge 3 times for raw material then usual market rate. Paid 6k. No bill for installation. OGeneral says no bill be provided. Fishy.If it was not brand name and credibility for years, I would have never gone for this.",,Ac is good low electricity bill but after one year too much expensive in service and spare parts not available very bad experience no repairs  of parts only new part or  if not available than total new unit.,,,B00PLQQ64M," 38,150.00",O General,,4 reviews,Inverter,"O General ASGG12JLCA-1.0 Inverter Wall Mounted Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen","42,290.00",Remote Control,ASGG12JLCA,#188,"#2,01,397",White,1095 Watts,Split,2.5 out of 5 stars,240 Volts,http://www.amazon.in/General-ASGG12JLCA-1-0-Inverter-Mounted-Copper/dp/B00PLQQ64M/ref=sr_1_168/253-4368190-6199424?ie=UTF8&qid=1485032576&s=kitchen&sr=1-168
,2 tons,50 dB,,,,,,,,B010DLXUI4," 40,500.00",Voltas,,,2 Star Rating,"Voltas 2.0TC242CY Split AC (2 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen","46,190.00",Remote Control,2.0 T C 242 CY,#220,"#2,34,539",White,2033 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-2-0TC242CY-Split-Rating-Copper/dp/B010DLXUI4/ref=sr_1_192/255-2717234-0591922?ie=UTF8&qid=1485032577&s=kitchen&sr=1-192
,1.5 tons,,,,,,,,,B01CFY9IKG," 42,105.00",Blue Star,,,5 Star Rating,"Blue Star BI-5HW18ZCWX Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,BI-5HW18ZCWX,#291,"#2,89,650",White,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW18ZCWX-Split-Rating/dp/B01CFY9IKG/ref=sr_1_216/255-9725434-7522266?ie=UTF8&qid=1485032579&s=kitchen&sr=1-216
,1.5 tons,,this ac is just ok ..average performance..but I dont have any major complaints...however the customer care of LLOYD is useless...i keep calling them and they dont have prompt service . They also dont have spare parts if any replacement is needed. One service person told me that It takes up space to keep spare parts !!!! What a joke !!!.Will not recommend LLOYD to anyone. Personally I have moved on to other brands. Never never LLOYD.,Good product. Very fast cooling capacity. Power saving.,"Excellent product product,  pure copper coil. Comparable to ogeneral,  hitachi",,An excellent product. What a cooling capacity!  I got one a week ago and I am highly satisfied with the product. .simply it's value for money.,,,B00PU1C18S," 36,000.00",Lloyd,,7 reviews,5 Star Rating,"Lloyd Sleekstar LS19A5SN Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,LS19A5SN,#253,"#2,69,615",White,1450 Watts,Split,3.9 out of 5 stars,230 Volts,http://www.amazon.in/Lloyd-Sleekstar-LS19A5SN-Split-Rating/dp/B00PU1C18S/ref=sr_1_240/253-4288778-8053119?ie=UTF8&qid=1485032580&s=kitchen&sr=1-240
