Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1.5 tons,42 dB,product seems good......!!,,,,,,,B00VI0BQBS," 56,200.00",Samsung,"Samsung AR18JV5NBWK Triangle Inverter Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",1 review,Inverter,AR18JV5NBWK,,Remote Control,Amazon/Seller Fulfilled,#342,"#3,32,337",White,1410 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JV5NBWK-Triangle-Inverter-Aluminium/dp/B00VI0BQBS/ref=sr_1_278_m/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-278
,1 tons,42 dB,"The AC looks good, cooling is efficient.  Not entirely soundless, but very little noise, doesn't hinder your sleep because of the noise.  I was told that this was 100% copper.  The installation guys were from a third party and did a thoroughly professional job at a time of my choosing.  Got a VG 400 V Guard stabilizer and a bracket for the outdoor unit installed as well. A decent product for domestic use.",,,,,,,B00V30LGCM," 29,250.00",Panasonic,"Panasonic CS-KC12RKY1 Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,5 Star Rating,CS/CU-KC12RKY1,,Remote Control,CS-KC12RKY1,#304,"#2,98,310",White,990 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-CS-KC12RKY1-Split-Rating-Copper/dp/B00V30LGCM/ref=sr_1_284/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-284
,1.5 tons,42 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",Got in store for 43000/-/gud product,AMAZON'S AMAZING PRODUCT,,Good one,,,B00VI0ALZU," 56,160.00",Samsung,"Samsung AR18JV5HATQ Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",4 reviews,Inverter,AR18JV5HATQ,,Remote Control,Amazon/Seller Fulfilled,#371,"#3,59,319",White,1410 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JV5HATQ-Split-White-Aluminium/dp/B00VI0ALZU/ref=sr_1_279/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-279
,1.5 tons,56 dB,The AC was dented both on the bofy and inside and the grill has daahes too.,,,,,,,B00WW5QYIS," 27,000.00",Panasonic,"Panasonic UC1815YA Window AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,2 Star Rating,UC1815YA,,Remote Control,UC1815YA,#351,"#3,39,379",White,1700 Watts,Window,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-UC1815YA-Window-Rating-Copper/dp/B00WW5QYIS/ref=sr_1_274/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-274
,1.5 tons,58 dB,,,,,,,,B010DLW5QC," 26,000.00",Voltas,"Voltas 1.5T182DYE Window AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,1.5 T 182 DYe,,Remote Control,1.5 T 182 DYe,#349,"#3,38,724",White,1760 Watts,Window,,230 Volts,http://www.amazon.in/Voltas-1-5T182DYE-Window-1-5-Rating/dp/B010DLW5QC/ref=sr_1_270/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-270
,1.5 tons,42 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",Got in store for 43000/-/gud product,AMAZON'S AMAZING PRODUCT,,Good one,,,B00VI0ALZU," 56,160.00",Samsung,"Samsung AR18JV5HATQ Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",4 reviews,Inverter,AR18JV5HATQ,,Remote Control,Amazon/Seller Fulfilled,#371,"#3,59,319",White,1410 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JV5HATQ-Split-White-Aluminium/dp/B00VI0ALZU/ref=sr_1_279_m/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-279
,1.5 tons,,,,,,,,,B00YN51FBQ," 42,690.00",Onida,"Onida Tracy SA185TRC Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,,TRACY-SA185TRC,,Remote Control,TRACY-SA185TRC,#324,"#3,19,045",White,1465 Watts,Split,,,http://www.amazon.in/Onida-Tracy-SA185TRC-Split-Copper/dp/B00YN51FBQ/ref=sr_1_271/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-271
,2 tons,52 dB,,,,,,,,B00VUTW2PQ," 53,340.00",Carrier,"Carrier 24K Superia 365 Inverter Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,Remote Control,MS11D12-24HRDN1-QC2W,#316,"#3,11,619",White,1917 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Superia-Inverter-Split-Copper/dp/B00VUTW2PQ/ref=sr_1_276/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-276
,1.5 tons,35 dB,"One of the worst product. Will give you trouble from first day. Gas leakage, cooling not happening etc. For me my motor stopped functioning just in the 13th month, one month alfter warranty period. Got no support. So be ready to pay 5-6 k every year.",,,,,,,B00VFYU3O8," 27,000.00",Whirlpool,"Whirlpool MAGICOOL DLX III Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,"36,300.00",Remote Control,MAGICOOL DLX III(1.5 T),#319,"#3,14,024",White,1578 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Whirlpool-MAGICOOL-DLX-III-1-5/dp/B00VFYU3O8/ref=sr_1_280/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-280
,,,,,,,,,,,,,"LG BSA18IMA Inverter V Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,,,,,,,,,,,,,http://www.amazon.in/LG-BSA18IMA-Inverter-Split-Aluminium/dp/B00UTDNYQA/ref=sr_1_288/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-288
