Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTKM71PRV16-Split-2-2-White/dp/B00PASQWM2/ref=sr_1_865/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-865
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-19CXBW5N-Split-Rating-Aluminium/dp/B00OTDLG6G/ref=sr_1_888/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-888
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-13CXAS5N-Split-Rating-Aluminium/dp/B00OTDM6K6/ref=sr_1_886/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-886
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-19CXAS3N-Split-Rating-Aluminium/dp/B00OTDMGCE/ref=sr_1_885/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-885
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-19CXAR3N-Ether-Rating-Aluminium/dp/B00OTDTNZC/ref=sr_1_876/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-876
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-18CK6G2N-Split-Rating-Aluminium/dp/B00OTDNL3M/ref=sr_1_882/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-882
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTXS50FVMA-Split-1-5-White/dp/B00PASQ7IG/ref=sr_1_872/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-872
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTKM60PRV16-Split-1-8-White/dp/B00PASQTHU/ref=sr_1_866/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-866
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-18CK6B2N-Split-Rating-Aluminium/dp/B00OTDR4ZI/ref=sr_1_880/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-880
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTXS25EVMA-Split-0-75-White/dp/B00PASQ1E6/ref=sr_1_874/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-874
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTKM35PRV16-Split-Ton-White/dp/B00PASQNIU/ref=sr_1_868/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-868
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTKM50PRV16-Split-1-5-White/dp/B00PASQQI2/ref=sr_1_867/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-867
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Voltas-Classic-243-CYI-Rating/dp/B00LSK07SQ/ref=sr_1_1009/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1009
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTXS71FVMA-Split-2-2-White/dp/B00PASQH5Y/ref=sr_1_870/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-870
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-18CK3W3N-Energy-Rating-Aluminium/dp/B00OTDSAK6/ref=sr_1_879/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-879
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-12CK3W3N-Energy-Rating-Aluminium/dp/B00OTDSJC0/ref=sr_1_878/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-878
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Blue-Star-3HW12TB1-Split-Rating/dp/B00LSJKD2C/ref=sr_1_1032/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1032
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-18CKCS3N-Energy-Rating-Aluminium/dp/B00OTDMZU2/ref=sr_1_883/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-883
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Blue-Star-2WAE181YA-Window-Rating/dp/B00LSJP0CA/ref=sr_1_1030/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1030
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Sharp-AHXP13NRV-Split-1-1-White/dp/B00LSJN2GQ/ref=sr_1_1031/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1031
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Midea-Elektra-MS11D6-18CR-MOB-18C-Rating/dp/B00LSJSAX6/ref=sr_1_1028/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1028
